网站,标题,时间,作者,文本,总结
https://www.163.com/dy/article/IHRP8SH105565ANS.html, 不可能，杜特尔特不会参选副总统！小马科斯当选总统毫无悬念, 2023-10-24 23:29:38, 蓝盛嘉玲, 本文素材来自于网络，若与实际情况不相符或存在侵权行为，请联系删除。近日，菲律宾政坛风起云涌。杜特尔特家族，长期在菲律宾政界扮演着重要角色的家族，现在又成为众人关注的焦点。意外的是，杜特尔特的女儿萨拉·杜特尔特在这一轮的总统选举中突然选择退让，她不再争夺总统之位，而是选择角逐副总统，并为之前因贪腐问题而被罢免的前总统马科斯的儿子、“邦邦”小马科斯站台。令外界更为震惊的是，现任总统杜特尔特也有可能跟随女儿的步伐参选副总统。两位家族成员在同一轮选举中对决同一职位，无疑是一出政治大戏。不过，从菲律宾的选举制度出发，两位亲朋好友同时角逐副总统职位的可能性并不大。根据1987年版的《菲律宾宪法》规定，菲律宾的总统与副总统是单独投票选举的。在这种选举制度下，候选人只需要在一次全民投票中获得最多的票数就可当选。考虑到杜特尔特家族的选民基础与萨拉非常接近，如果父女两人同时参选，他们之间的票源无疑会被分散，最终两败俱伤。因此，对于外界的猜测，大家普遍认为，不论是杜特尔特还是萨拉，最后至少有一人会选择退出选战，以维护家族在政坛的利益和声望。至于“邦邦”小马科斯，他似乎对这次的总统大位志在必得。他在公开场合明确表示，他只会角逐总统职位。而当他与萨拉一同出席某场活动时，两人的紧密互动让外界更加确认了他们的政治联盟。结合马科斯家族在菲律宾中部和北部的强大势力，他们的联盟无疑会为2022年的大选带来颇多看点。另一方面，西方国家对菲律宾政局的变动似乎并不感冒。对他们来说，无论是马科斯还是杜特尔特家族，都不符合他们心目中的“标准”。尤其是当这两大家族的代表人物公开表示，他们不会在中美关系中选择一方时，西方的失望可想而知。他们曾寄希望于杜、马两家的竞争中，产生一个更亲西方的新势力，但现实显然与他们的期望相去甚远。总的来说，近期的菲律宾政坛是波澜壮阔，变幻莫测。而在这背后，无疑揭示了家族、权力、国际关系的复杂交织。接下来，我们只能等待大选的最终结果，看看这场政治风暴会给菲律宾，乃至整个东南亚地区带来怎样的影响。以上内容资料均来源于网络，本文作者无意针对，影射任何现实国家，政体，组织，种族，个人。相关数据，理论考证于网络资料，以上内容并不代表本文作者赞同文章中的律法，规则，观点，行为以及对相关资料的真实性负责。本文作者就以上或相关所产生的任何问题任何概不负责,近日，菲律宾政坛风起云涌。杜特尔特家族，长期在菲律宾政界扮演着重要角色的家族，现在又成为众人关注的焦点。
https://www.163.com/dy/article/IHSUPJ6G0512DAHC.html, 菲媒：菲律宾总统马科斯决定将武装部队打造成“世界级军队”, 2023-10-25 10:25:25, 东博社, 据菲律宾媒体报道，日前，菲律宾总统马科斯表示，政府将继续竭尽全力推动武装部队现代化，使之成为一支“世界级军队”。菲律宾《马尼拉时报》10月25日报道，23日在菲律宾总统府马拉卡南宫为菲武装部队军士长理事会举行的晚宴上，马科斯说，军队在保卫国家主权及财富方面扮演关键角色。他说：“我们将坚定不移，把菲武装部队建设成一支受他国军队尊重、为菲律宾带来民族自豪感的世界级军队。”菲律宾总统马科斯决定将复绿武装部队打造成“世界级军队”图源：菲律宾《马尼拉时报》据报道，马科斯称，政府将继续推动实施改善军人及家属福利的计划和政策。考虑到菲律宾安全环境的变化，马科斯说，他期望菲武装部队适应时代需求，为任何紧急事件做好准备。他相信军士长们将继续学习新技能，获得新知识，为实现军队的发展目标服务。来源：菲律宾《世界日报》、菲律宾《马尼拉时报》编辑：钟霜霞,23日在菲律宾总统府马拉卡南宫为菲武装部队军士长理事会举行的晚宴上，马科斯说，军队在保卫国家主权及财富方面扮演关键角色。他说：“我们将坚定不移，把菲武装部队建设成一支受他国军队尊重、为菲律宾带来民族自豪感的世界级军队。”
https://www.163.com/dy/article/IHOI1NJ605561BO9.html, 杜特尔特对华强硬，老杜女儿感谢小马科斯，菲高层不和不攻自破？, 2023-10-24 16:30:03, 芊芊子吟, 在2023年的菲律宾政坛，各种波折和变革不断。作为现任总统的杜特尔特对华采取了强硬态度，而他的女儿、现任副总统莎拉·杜特尔特公开感谢了马科斯家族的后人。这是否意味着菲律宾的高层政坛风云再起？这背后又隐藏了怎样的政治策略和权力斗争？1.杜特尔特对华强硬：受制于内外交困在2023年，杜特尔特对中国采取了一系列强硬的政策和表态。这在某种程度上与他在国内外的困境息息相关。杜特尔特的支持率已经下降到了45%，这与他上台初期的高达70%的支持率形成了鲜明的对比。这种下滑主要是由于他面临的反对派的弹劾和质疑，特别是与马科斯家族的紧张关系。外部因素也对杜特尔特的决策产生了重大影响。美国和日本等国在南海问题上与中国产生了一系列的摩擦。美国对菲律宾的军事援助增加了15%，而日本则承诺在未来五年内对菲律宾的基础设施投资增加20%。这种外部支持使杜特尔特有了更多的筹码，从而敢于对华采取强硬的态度。2.莎拉·杜特尔特的“感谢”：政治联盟的微妙平衡莎拉·杜特尔特作为现任的副总统，她在政坛上的作用越来越显著。但在教育改革方面，她遭到了反对派的强烈攻击。有43%的菲律宾民众对她的教育改革表示不满。而在这个敏感时期，马科斯家族的支持无疑为她带来了重要的政治资本。莎拉对小马科斯的公开感谢，更多的是出于政治考量。这也暗示了在当前的政治格局中，马科斯家族与杜特尔特家族之间仍存在着一定的合作空间。这种合作对双方都是有益的，可以互相为对方解决一些政治上的困境。3.菲高层的“不和不攻自破”：门阀政治的制约菲律宾的政坛被几个大家族所主导，他们之间的权力斗争和博弈成为了政坛的常态。四大家族控制了菲律宾80%的国家资源和财富。这种情况下，任何一方都不愿意轻易打破这种微妙的平衡。这种平衡也使得菲律宾的高层政治呈现出一种“不和不攻自破”的状态。这些家族之间，虽然存在竞争和矛盾，但更多的是通过各种方式来维持这种平衡，以确保自己的权利和利益不受到威胁。在2023年的菲律宾政坛，无论是杜特尔特对华的强硬态度，还是莎拉与马科斯家族的微妙互动，背后都是深层次的政治博弈和权力斗争。在这种复杂的背景下，菲律宾的未来政治走向仍然充满了变数和不确定性。但可以确定的是，家族政治和门阀政治仍将在一段时间内继续影响菲律宾的政治格局。,菲律宾政坛风云再起：杜特尔特对华强硬，副总统谢马科斯后人
https://www.163.com/dy/article/IHM155AC05565BVO.html, 菲律宾找上门来，要中国给钱，恐怕马科斯当局想得太强烈了, 2023-10-22 17:51:59, 寻史历史, 前言自总统在菲律宾上台以来，中菲关系大幅恶化。中菲关系逐渐疏远的主要原因是马科斯政府的亲美立场。这位领导人任之上任前曾多次向中国示好，不少人认为他上任后将继续沿用上届政府的对华外交政策。然而，让很多人没想到的是，马科斯竟然转身投入了美国的怀抱。为了讨好美国，菲律宾过去多次对中国进行挑衅。中菲之间的主要矛盾点是南海问题。菲律宾一直想在南海寻求更多的资源和经济优势，因此不惜侵犯中国的领土主权。菲律宾的这些举动给中菲关系带来一系列严峻挑战。除了两国在南海问题上存在分歧外，菲律宾还就南方长线铁路项目向中国发起挑战。这是怎么回事？菲律宾又表现了首先，这个项目在去年年初就已经正式启动，当时马科斯还没有成为菲律宾的最高领导人。铁路是重要的基础设施，许多国家都希望修建大量铁路。然而，铺设铁路是一项重大任务，通常只有国有企业才能承担。除了巨大的投资之外，铁路的铺设过程还需要基础技术的支持。放眼世界，中国无疑是铁路铺设经验最丰富的国家。除了在境内铺设铁路外，中国还与许多国家开展基础设施合作项目。许多第三世界国家在中国的帮助下拥有了自己的铁路。成套铁路的建设为这些国家的经济发展注入了新的活力。南方长线铁路项目对中菲两国尤其是菲律宾极为重要。目前，菲律宾经济虽然取得了一些成绩，但仍属于发展中国家。但与发达国家相比，仍存在不可逾越的差距。为促进国家进一步发展，菲律宾政府决定在中方帮助下启动铁路铺设项目。该项目对菲律宾经济长期发展具有重要意义。首先，铺设铁路的过程需要大量的工人。出于劳动力成本的考虑，中国和菲律宾企业无疑会走在雇佣菲律宾本土员工的前列。因此，该项目可以为许多菲律宾人提供稳定的就业机会。这样一来，菲律宾的就业压力将得到很大缓解，但南部长途铁路项目的顺利实施却并非易事。由于项目规模巨大，菲律宾政府至少要投资数百亿元人民币才能完成该项目。但短时间内无法筹集到资金，为了项目顺利进行，菲律宾只能向中国寻求贷款。中方并没有刁难菲律宾的要求。但双方在贷款利率问题上存在严重分歧，中方将利率定为三个百分点。菲律宾政府认为这个比率太高，双方就此问题进行了谈判，但谈判结果并不理想。近期，马科斯政府欲进一步降低利率。他们还表示，日本也可以帮助菲律宾实施该项目。很明显，马科斯是在向中国施压，希望以此迫使中国在利率问题上做出让步。但中国政府并没有妥协，因为它深知这种妥协会带来很多负面影响。要知道，许多国家都向中国提供了贷款，作为对华大型合作项目的一部分。如果中国这次降息，其他有中国贷款的国家也会有降低利率的需求。届时中国自身的经济利益肯定会受到损害。为了避免这种情况，中国坚决不下调贷款利率。此次利率问题进一步疏远中菲关系。如果马科斯政府短期内不改变政治立场，中菲关系只会更加紧张。马科斯面临的危机马科斯虽然成为了菲律宾的最高领导人，但他的政治地位其实并不稳定。马科斯当选的成功取决于杜特尔特的政治权力。杜特尔特可以说是菲律宾近年来最尊崇的领导人，在菲律宾有着相当大的影响力。即使选择退休，杜特尔特在政坛也已经拥有一定的发言权。杜特尔特政权与马科斯存在合作关系，双方原本追求共同利益。但随着马科斯的亲美立场变得更加自信，他受到的批评也多得多。当马科斯的支持率下降到一定限度时，他就可以被弹劾，马科斯就失去了现在的权力和地位。因此，执政地位的不稳定是马科斯面临的最大危机。除了危机之外，马科斯还需要解决菲律宾目前存在的一些经济问题。菲律宾经济近年来保持较高增速，但疫情爆发后，菲律宾经济出现了严重问题。即使是杜特尔特也没有完全消除疫情对菲律宾经济发展的负面影响。马科斯上台后，忽视国内经济问题。对他来说，赢得美国的青睐才是最重要的。马科斯亲美的理由很简单，就是想利用美国的力量来实现他在南海的野心。要知道，菲律宾在南海拥有众多岛屿。但他们没有足够的实力从中国手中夺取这些岛屿，但如果美国决定帮助菲律宾，那么他们在南海的野心就可以实现。而且，得到美国认可的马科斯认为，他的政治地位将难以撼动。马科斯当前的亲美对华政策也拥有不少忠实支持者。这些支持者的存在让马科斯有勇气挑衅中国，但实际上菲律宾却成为美国限制中国发展的工具。如果未来菲律宾失去使用价值，美国很可能会放弃它。如果真是这样，马科斯目前的亲美行为将成为笑柄。结论马科斯的亲美立场成为中菲关系发展的严峻考验。中菲要想实现双赢，就必须通过协商或谈判就南海问题达成共识。事实上，中菲之间的矛盾尚未发展到难以解决的地步，中方仍愿与菲方充分合作。中菲友好关系有利于促进整个东南亚地区的和平与稳定。,马科斯政府一直试图通过南海问题向中国施压，试图使中国遵守南海地区国际法，但中国对此采取了耐心和克制的态度。
https://www.163.com/dy/article/I4A1FHL305562XKG.html, 电话已拨不通，马科斯看到中国态度, 2023-05-09 12:42:45, 猪猪大厨房, 最近，菲律宾总统马科斯再度访问美国，这是他就任菲律宾总统以来第二次访美，这种频繁程度也是很少见的。而美菲的防务合作也是明显在升温，美菲举行了迄今为止最大的联合军演，并且举行了时隔30多年来首次联合战机演训。然而最受关注的就是菲律宾宣布对美国新开放4个军事基地，而菲律宾一直试图抵消这件事带来的负面影响。最近马科斯在美国智库发表演讲时再次特意强调，如果未来台海发生战事，美国不能利用在菲律宾的军事基地对中国采取进攻行动。在4月底他乘专机前往美国途中也表过态，地区紧张局势下，菲律宾绝不用充当任何军事行动的补给站，不会把自己卷入任何冲突当中。在菲律宾刚开始宣布对美国敞开这4个军事基地，以及中国外长秦刚访问菲律宾的时候，马科斯都做出过类似表态。说多了，他们似乎自己都信了。这个美军军事基地究竟是不是针对中国，看地图就知道了，新增的4个基地针对性这么明显，3个位于吕宋岛北部，1个位于巴拉望省的巴拉巴克岛，其中一处军事基地距离中国台湾只有400公里。而菲律宾一直说这个基地是防御性的，并强调冲突时不会允许美军用来发起进攻行动，马科斯是哪来的自信，认为自己能够控制美军？这种保证恐怕连自己都不信，更像是一个事先的“免责声明”。因为一旦战事爆发，菲律宾绝无可能控制局面。,菲律宾“求救”美国：如果台海发生战事，美国不能利用菲律宾军事基地对中国采取行动
https://www.163.com/dy/article/IHSRIMOR0553QMAX.html, 小马科斯力挺我国，菲方震惊, 2023-10-25 09:29:13, 延边小美一家, 中美博弈之下，菲律宾对于仁爱礁的野心变得越来越不切实际。他们可能认为一艘坐滩军舰可以慢慢将该礁占为己有，但却忽略了中国绝不容忍一寸领土的失去。菲律宾不仅在八月份擅闯仁爱礁，还试图将非法建筑材料运到那艘坐滩军舰上。然而，越是急于行动，就越证明了中国拦截的必要性，我们绝对不能让菲律宾的船只进入仁爱礁。菲律宾那艘“非法坐滩”的二战军舰马德雷山号已经停留在仁爱礁上长达24年之久。然而，军舰都有寿命，菲律宾的强行运送建筑材料说明这艘破军舰已经不行了，离沉底不远了。一旦马德雷山号消逝了，菲律宾就很难在仁爱礁上搞事情，更难以将我们的领土占为己有。此次中菲船只相撞，中国已经表明了最强硬的态度，菲律宾船只想要强行闯入，根本不可能。菲律宾之后又开始倒打一耙，威胁我们，声称如果我们继续阻止他们的补给任务，就可能引发“灾难性后果”。然而，我们的海警船并不是被吓大的，菲律宾想要尝试的话，注定是有来无回。事态闹得越来越大，菲律宾总统小马科斯开始正式表态。据悉，在中国海警船依法拦截菲律宾船只后，小马科斯在与菲律宾安全部门会面后表示，“菲律宾海岸警卫队船只在南海海域与中国海警船‘相撞’后受到损伤。”他有意表现出一副受害者的心态。随着小马科斯的表态，菲律宾政府对外公布声明，声称“国家元首已经对仁爱礁地区中菲舰船‘撞击’事件进行调查。总之，菲律宾的行为不仅违反了国际法，也挑战了中国的底线。我们不能容忍菲律宾侵犯我国的领土主权，必须采取坚决的行动。与此同时，我们也要加强外交斗争，争取国际社会的支持和理解。只有坚守底线，才能保卫我们的领土安全和国家利益。最后，让我们思索一个问题：如何平稳中菲关系，实现和平稳定的南海局势？请留言分享你的观点和建议。中国海警船与菲律宾船只在仁爱礁发生冲突，菲律宾政府将此事件上升到最高级别，并指责中国海警船的行为非法和危险。然而，从中国的角度来看，菲律宾的表态是在将自身的违规行为合法化，并试图反诬中国。事实上，菲律宾似乎并不是想要解决问题，而是在制造麻烦，并试图与中国对抗。对于主权和领土问题，中国没有容忍的余地。这次事件明显是菲律宾船只先挑衅中国，中国决不容忍菲律宾的胡闹。菲律宾政府派遣助理外交部长艾琳召见中国驻菲律宾大使馆首席馆员周志勇，试图强调对仁爱礁的所谓“管辖权”。然而，周志勇对此表示强烈抗议，并再次强调仁爱礁自古以来就是中国的领土。中国敦促菲律宾重视中国的利益和关切，停止挑衅和危险行为，并停止诋毁中国。通常情况下，被召见方需要倾听抗议方的意见并向更高层次的部门反映。然而，中国并没有这样做，而是直接给菲律宾一个警告，让他们知道中国的决心。总之，在中菲之间发生的这场冲突中，中国明确表明了自己的立场，并决不容忍菲律宾的侵犯。中国坚信仁爱礁是自己的领土，并强调菲律宾应该停止挑衅，尊重中国的利益。对于这种无理行为，中国坚决不会退让。在当前国际局势下，保护领土和主权是每个国家的重要使命。中国不仅要维护自己的利益，也要维护国际法和国际秩序的尊严。菲律宾在这个问题上的行为不仅是对中国的挑衅，也是对国际法和国际秩序的挑战。作为一个负责任的大国，中国有责任采取必要的行动来维护自身的利益和国际秩序的稳定。最后，让我们思索一个问题：在当前的国际局势下，各国应该如何处理领土和主权争端？请留下你的评论。,菲律宾在仁爱礁上没有得到太多的慰安妇问题上的帮助。它还把“中国船”开到中国近海，企图通过武力干涉南海和平局势。
https://www.163.com/dy/article/IHT5TKJB0553SFSY.html, 菲律宾总统马科斯召开紧急特别会议，讨论最近南海碰撞事件！, 2023-10-25 12:32:48, 科学佣人, 菲律宾海岸警卫队表示，希望在五天内完成调查。美安全顾问沙利文表达了在南海撞船后对菲律宾的支持。中方称美国国务院罔顾事实，用心十分险恶。中国维护自身合法权利的决心和意志是坚定的。外媒断言，菲坐滩船末日将至，但不会是中方出手。应该发出最后通牒，要求菲律宾限期拖走那个破船，如果到时候不处理的话我们炸沉。拖走烂船谁敢动枪炮，动就打，还怕世界大战吗？会来的总归会来，别想太多，领土岛礁不容侵犯才是硬道理。中国的领土，是不容侵犯的，哪怕有美国人给你撑腰也不行。至少派水下蛙人学一下孙悟空加火添风。不准运送任何东西上去。不能老让别人把我们的衣服来撕扯了，那样他们不花成本，扯掉我们一块他们就赚了。我们应该告诉世界人民，吕宋岛自古以来就是中国的，安南也是中国的故有领土。当今世界局势复杂多变，需多考虑国内国外因数，打当然是可以，但经济会进一步低迷，甚至有可能给邻国有机可乘！南海风高浪急，即将打翻破船，中国发扬人道主义精神，把船上人员救走后，破船解体，我们为救护船上人员，有两名勇敢的渔民受伤，菲律宾须赔付一部分医药费！！调查是因为他们害怕了，想给中国传达碰撞不是他们高层下的命令，这是服软吗？,中国要做好准备，坚决不让菲律宾再发生撞船事件!
https://www.163.com/dy/article/I15UKIR20556170N.html, 菲前总统来华，传递马科斯的表态, 2023-03-31 15:49:01, 天下事田上知, 中国海军和海警完全控制了仁爱礁周边海域，菲方人员想进入必须接受检查。至于仙宾礁的情况，根据菲律宾媒体的说法，中国的挖沙船等工程船已经抵达，预计很快就会进行吹沙造岛行动。与此同时，菲律宾加紧跟美国进行军事合作，还寻求跟其他国家建立军事协作关系。菲律宾总统马科斯已经表示，将很快宣布4处新提供给美军的基地。他还表示，这些基地会提高保卫吕宋岛“东侧”的能力。此外，菲律宾已经跟美国进行了代号“盾牌”的联合军演，随后又将举行代号“肩并肩”的联合军演。美菲军事关系大幅升温，使得南海局势也大幅度升温。这种情况，对菲律宾而言，实际上没有任何好处，因为中国依然是他们的最大经贸伙伴。在今年年初，马科斯还到访中国，带领着超过200人的超大代表团。可以看到，菲律宾对中菲合作极其重视。访华结束后，菲律宾各部门的高级官员举行发布会，重点介绍马科斯访华成果和落实情况。,美菲已秘密启动南海军事合作，两国拟联手对华反击
https://www.163.com/dy/article/IHTH9TDL05565ANT.html, 没参会的马科斯，向中国伸手要钱，帮菲律宾建铁路，南海不是事儿, 2023-10-25 15:48:53, 蓝盛大伟, 近期，菲律宾和中国就南部长途铁路项目的贷款进行了谈判，这一消息传出时，正值中国举行迎来来自130多个国家代表的大会。菲律宾国家铁路公司总经理表示，虽然南海问题存在，但不会影响这次谈判。然而，菲律宾似乎对此次谈判感到不太有信心。这一项目早在菲律宾总统杜特尔特执政期间就提出，但后来中国宣布撤资，这在一定程度上让菲律宾感到失望。在杜特尔特总统领导下，菲律宾努力推动与中国的友好合作，包括经济、军事和外交领域。然而，与中国合作需要双方的互信和合作机会。尽管南海问题不再是紧要问题，但南部长途铁路项目的撤资仍然是一个挑战。菲律宾正在寻求应急方案，以确保谈判不会失败，包括寻找其他融资途径。菲律宾在改善与中国关系方面还需更多努力。从安全和经济利益的角度来看，如果不能为中国提供保障，为什么不与其他东盟国家建立友好关系呢？在谈判中提及南海问题，菲律宾明确了与中国合作的意愿。因此，菲律宾需要采取更积极的步骤来改善中菲关系，否则所有构想都将是空谈。,近期，菲律宾和中国就南部长途铁路项目的贷款进行了谈判，这一消息传出时，正值中国举行迎来来自130多个国家代表的大会。菲律宾国家铁路公司总经理表示，虽然南海问题存在，但不会影响这次谈判。
https://www.163.com/dy/article/I899A29V0553TWU0.html, 南海方向传来“好消息”！“马科斯辞职”响彻菲律宾, 2023-06-27 22:43:04, 地理科普局, 最近，南海的形势异常危险，美国联合菲律宾和日本不断发出挑衅，特别是菲律宾。自从菲律宾新总统小马科斯上台以来，中菲两国的关系就发生了变化，原本友好的中菲关系已经陷入了一片混乱之中！2023年一开始，菲律宾与中国的关系一度十分融洽，然而在马科斯访问中国期间，双方达成了十几项协议，但随后小马科斯选择在中美之间选边站，并毫不犹豫地向美军提供军事基地，这一举动使得中菲关系瞬间降至冰点，两国的十几项合作也因此功亏一篑！尽管美军在巴拉望岛和吕宋岛接管了菲律宾的四个军事基地，但马尼拉的美军却呈现出增多的趋势，这引起了菲律宾民众的不满。今年4月份，大批菲律宾民众走上街头，反对美菲两国频繁的军事行动。游行示威的群众表示，他们不希望中菲两国发生冲突，因此参加了这次反战游行。在首都马尼拉群众的积极努力下，这次反战游行瞬间蔓延至整个菲律宾！随着游行示威活动的蔓延，“小马科斯下台”这一口号也开始在菲律宾掀起了轩然大波！菲律宾前总统杜特尔特在公开场合强烈谴责马科斯政府的行为，并敦促菲律宾政府立即采取果断行动，避免冒犯中国，尽快恢复与中国的友好关系。杜特尔特作为引领菲律宾民众走出毒品阴霾的领袖，其卓越的影响力不言而喻，毋庸置疑，这番言论将掀起菲律宾社会的巨浪！最近，美菲两国在南海频繁举行军演，这不仅是对中国领土和海洋权益的公然威胁，更凸显了菲律宾同美国的坚定决心，他们不仅要对中国的领土和海洋权益发起挑战，更要竭尽全力阻止中国的发展。然而，南海的战争爆发并未为菲律宾带来任何实质性的利益，因此，菲律宾可以借鉴当今乌克兰的经验！这并非是危言耸听，俄乌冲突发生后，除士兵伤亡外，最受伤害的肯定是当地人民。例如乌克兰，目前有2000万以上的难民，是由于这场战争所致！小马科斯最近的行为表明，无不彰显其已经做好了成为美国战争“代理人”的准备，因为美国在打代理人战争方面表现出色，而菲律宾的初衷或许并不是希望成为“代理人！杜特尔特的介入将对菲律宾民众的态度产生深远影响，随之而来的是更大规模的游行示威活动，这是民众的真实意愿，而仅仅依靠亲美派总统马科斯的支持并不能为他们带来未来，只有与真正热爱和平的国家打交道，才能符合菲律宾的利益。在这种情况下，马科斯如果不悔改，就必须下台回家！,中菲关系紧张的背后：美国一招致菲彻底败北
